PClass;Name;Sex;Age;Survived
second;Davis, Mrs Agnes;female;49.0;true
second;Herman, Mr Samuel;male;49.0;false
third;Johnson, Mr Alfred;male;49.0;false
first;Brandeis, Mr Emil;male;48.0;false
first;Douglas, Mrs Walter Dold (Mahala Dutton);female;48.0;true
first;Duff Gordon, Lady (Lucille Wallace Sutherland);female;48.0;true
first;Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli);female;48.0;true
first;Harper, Mr Henry Sleeper;male;48.0;true
first;Ryerson, Mrs Arthur Larned (Emily Maria Borie);female;48.0;true
first;Taylor, Mr Elmer Zebley;male;48.0;true
second;Herman, Mrs Samuel (Jane Laver);female;48.0;true
second;Louch, Mr Charles Alexander;male;48.0;false
second;Milling, Mr Jacob Christian;male;48.0;false
third;Ford, Mrs Edward (Margaret Ann);female;48.0;false
third;Jensen, Mr Niels Peder;male;48.0;false
first;Anderson, Mr Harry;male;47.0;true
first;Astor, Colonel John Jacob;male;47.0;false
first;Beckwith, Mrs Richard Leord (Sallie Monypeny);female;47.0;true
first;Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood);female;47.0;true
first;Gee, Mr Arthur H;male;47.0;false
first;Moore, Mr Clarence Bloomfield;male;47.0;false
first;Walker, Mr William Anderson;male;47.0;false
third;Elsbury, Mr James;male;47.0;false
third;Vereruysse, Mr Victor;male;47.0;false
first;Chaffee, Mr Herbert Fuller;male;46.0;false
first;Guggenheim, Mr Benjamin;male;46.0;false
first;Jones, Mr Charles Cresson;male;46.0;false
first;McCaffry, Mr Thomas Francis;male;46.0;false
first;Porter, Mr Walter Chamberlain;male;46.0;false
first;Swift, Mrs Frederick Joel (Margaret Welles Barron);female;46.0;true
first;Thorne, Mr George (alias of: Mr George Rosenshine);male;46.0;false
second;McKane, Mr Peter D;male;46.0;false
first;Blackwell, Mr Stephen Weart;male;45.0;false
first;Bowen, Miss Grace Scott;female;45.0;true
first;Butt, Major Archibald Willingham;male;45.0;false
first;Gibson, Mrs Leord (Pauline C Boeson);female;45.0;true
first;Greenfield, Mrs Leo David (Blanche Strouse);female;45.0;true
first;Harris, Mr Henry Birkhardt;male;45.0;false
first;Spedden, Mr Frederick Oakley;male;45.0;true
first;Wick, Mrs George Dennick (Martha Hitchcock);female;45.0;true
second;Brown, Mr Thomas William Solomon;male;45.0;false
second;Gilbert, Mr William;male;45.0;false
second;Hart, Mrs Benjamin (Esther);female;45.0;true
second;Kelly, Mrs Florence (Fannie);female;45.0;true
second;McCrae, Mr Arthur Gordon;male;45.0;false
third;Assaf, Mrs Maria;female;45.0;true
third;Barbara, Mrs Catherine;female;45.0;false
third;Dahl, Mr Charles Edward;male;45.0;true
third;Ekstrom, Mr Johan;male;45.0;false
third;Hansen, Mrs Claus Peter;female;45.0;true
third;Lindblom, Miss Augusta Charlotta;female;45.0;false
third;Wilkes, Mrs Ellen;female;45.0;true
first;Brown, Mrs James Joseph (Margaret Molly" Tobin)";female;44.0;true
first;Frauenthal, Mr Isaac Gerald;male;44.0;true
first;Hippach, Mrs Louis Albert (Ida Sophia Fischer);female;44.0;true
first;Mihan, Dr William Edward;male;44.0;false
second;Carter, Mrs Ernest Courtey (Lillian Hughes);female;44.0;false
second;Harbeck, Mr William H;male;44.0;false
third;Cribb, Mr John Hatfield;male;44.0;false
third;Kelly, Mr James;male;44.0;false
first;Robert, Mrs Edward Scott (Elisabeth Walton McMillan);female;43.0;true
first;Stengel, Mrs Charles Emil Henry (Annie May Morris);female;43.0;true
second;Hart, Mr Benjamin;male;43.0;false
third;Cook, Mr Jacob;male;43.0;false
third;Dintcheff, Mr Valtcho;male;43.0;false
third;Goodwin, Mrs Frederick (Augusta);female;43.0;false
third;Holm, Mr John Frederik Alexander;male;43.0;false
first;Holverson, Mr Alexander Oskar;male;42.0;false
first;Kimball, Mr Edwin Nelson Jr;male;42.0;true
first;Lindeberg-Lind, Mr Erik Gustaf;male;42.0;false
second;Bystrom, Mrs Caroli;female;42.0;true
second;Drew, Mr James Vivian;male;42.0;false
second;Hold, Mr Stephen;male;42.0;false
second;Phillips, Miss Alice;female;42.0;true
third;Abbing, Mr Anthony;male;42.0;false
third;Dimic, Mr Jovan;male;42.0;false
third;Humblin, Mr Adolf Mathias Nicolai Olsen;male;42.0;false
third;Kelly, Mr James;male;42.0;false
first;Brady, Mr John Bertram;male;41.0;false
first;Kenyon, Mr Frederick R;male;41.0;false
second;Hosono, Mr Masafumi;male;41.0;true
second;Mellenger, Mrs Elizabeth Anne;female;41.0;true
second;Stanton, Mr Samuel Ward;male;41.0;false
third;Aijo-Nirva, Mr Isak;male;41.0;false
third;Goldsmith, Mr than;male;41.0;false
third;Hansen, Mr Claus Peter;male;41.0;false
first;Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons);female;40.0;true
first;Shutes, Miss Elizabeth W;female;40.0;true
first;Spedden, Mrs Frederick Oakley (Margaretta Corning Stone);female;40.0;true
first;Harrison, Mr William   Henry;male;40.0;false
second;Brown, Mrs Thomas William Solomon (Elizabeth C);female;40.0;true
second;Peruschitz, Rev Joseph M;male;40.0;false
second;Watt, Mrs James (Bessie Inglis Milne);female;40.0;true
third;Ahlin, Mrs Johan Persdotter;female;40.0;false
third;Asplund, Mr Carl Oscar Vilhelm Gustafsson;male;40.0;false
third;Badt, Mr Mohamed;male;40.0;false
third;Bourke, Mr John;male;40.0;false
third;Goodwin, Mr Frederick;male;40.0;false
third;Green, Mr George;male;40.0;false
first;Andrews, Mr Thomas, jr;male;39.0;false
first;Blank, Mr Henry;male;39.0;true
first;Compton, Miss Sara Rebecca;female;39.0;true
first;Cumings, Mr John Bradley;male;39.0;false
first;Dulles, Mr William Crothers;male;39.0;false
first;Silvey, Mrs William Baird (Alice Munger);female;39.0;true
first;Taussig, Mrs Emil (Tillie Mandelbaum);female;39.0;true
first;Thayer, Mrs John Borland (Marian Longstreth Morris);female;39.0;true
second;Otter, Mr Richard;male;39.0;false
third;Andersson, Mr Anders Johan;male;39.0;false
third;Andersson, Mrs Anders Johan (Alfrida K Brogren);female;39.0;false
third;Karun, Mr Franz;male;39.0;false
third;Kink, Mr Anton;male;39.0;true
third;Lester, Mr James;male;39.0;false
first;Cumings, Mrs John Bradley (Florence Briggs Thayer);female;38.0;true
first;Graham, Mr George Edward;male;38.0;false
first;Hoyt, Mr Frederick Maxfield;male;38.0;true
second;Fox, Mr Stanley H;male;38.0;false
second;Funk, Miss Annie C;female;38.0;false
second;Gale, Mr Shadrach;male;38.0;false
third;Andersson, Miss Ida Augusta Margareta;female;38.0;false
third;Asplund, Mrs Carl Oscar (Selma Augusta Johansson);female;38.0;true
third;Cacic, Mr Luka;male;38.0;false
third;Georges, Mrs Shahini Weappi;female;38.0;true
third;Goncalves, Mr Manuel Estanslas;male;38.0;false
first;Beckwith, Mr Richard Leord;male;37.0;true
first;Compton, Mr Alexander Taylor, Jr;male;37.0;false
first;Futrelle, Mr Jacques;male;37.0;false
first;Mihan, Mrs William Edward (Lillian E Thorpe);female;37.0;true
third;Carr, Miss Jeannie;female;37.0;false
third;Gustafsson, Mr Anders Vilhelm;male;37.0;false
third;Laitinen, Miss Kriti Sofia;female;37.0;false
first;Beattie, Mr Thomson;male;36.0;false
first;Cardeza, Mr Thomas Drake Martinez;male;36.0;true
first;Carter, Mr William Ernest;male;36.0;true
first;Carter, Mrs William Ernest (Lucile Polk);female;36.0;true
first;Cavendish, Mr Tyrell William;male;36.0;false
first;Crosby, Miss Harriet R;female;36.0;true
first;Evans, Miss Edith Corse;female;36.0;false
first;Harris, Mrs Henry Birkhardt (Irene Wallach);female;36.0;true
first;McGough, Mr James R;male;36.0;true
first;tsch, Mr Charles H;male;36.0;false
first;Silverthorne, Mr Spencer Victor;male;36.0;true
first;Young, Miss Marie Grice;female;36.0;true
second;Balls, Mrs Ada E Hall;female;36.0;true
second;Becker, Mrs Allen Oliver (Nellie E Baumgardner);female;36.0;true
second;Buss, Miss Kate;female;36.0;true
second;Hold, Mrs Stephen (Annie Margaret);female;36.0;true
second;Reeves, Mr David;male;36.0;false
second;Webber, Miss Susan;female;36.0;true
second;West, Mr Edwy Arthur;male;36.0;false
third;Coleff, Mr Peyo;male;36.0;false
third;Coutts, Mrs William (Minnie);female;36.0;true
third;De Messemaeker, Mr William Joseph;male;36.0;true
third;De Messemaeker, Mrs William Joseph (An);female;36.0;true
third;Klasen, Mrs Hulda Kristi;female;36.0;false
third;Leord, Mr Lionel;male;36.0;false
third;Lindell, Mr Edvard Bengtsson;male;36.0;false
third;Van de Velde, Mr John Joseph;male;36.0;false
third;Van Impe, Mr Jean Baptiste;male;36.0;false
third;Wittevrongel, Mr Camiel;male;36.0;false
first;Futrelle, Mrs Jacques (May Peel);female;35.0;true
first;Holverson, Mrs Alexander Oskar (Mary Aline Towner);female;35.0;true
first;Homer, Mr Harry;male;35.0;true
first;Hoyt, Mrs Frederick Maxfield (Jane Anne Forby);female;35.0;true
second;Collyer, Mr Harvey;male;35.0;false
second;Fynney, Mr Joseph J;male;35.0;false
second;Gale, Mr Harry;male;35.0;false
second;Slemen, Mr Richard James;male;35.0;false
second;Walcroft, Miss Nellie;female;35.0;true
third;Abbott, Mrs Stanton (Rosa);female;35.0;true
third;Allen, Mr William Henry;male;35.0;false
third;Asim, Mr Adola;male;35.0;false
third;Brocklebank, Mr William Alfred;male;35.0;false
third;Cor, Mr Bartol;male;35.0;false
first;Seward, Mr Frederic Kimber;male;34.0;true
second;Angle, Mr William A;male;34.0;false
second;Beesley, Mr Lawrence;male;34.0;true
second;Drew, Mrs James Vivian (Lulu Thorne Christian);female;34.0;true
second;Gillespie, Mr William;male;34.0;false
second;Hickman, Mr Leord Mark;male;34.0;false
second;Kantor, Mr Sii;male;34.0;false
second;Lemore, Mrs Amelia;female;34.0;true
second;Ponesell, Mr Martin;male;34.0;false
second;Renouf, Mr Peter Henry;male;34.0;false
third;Danbom, Mr Ernst Gilbert;male;34.0;false
third;Johanson, Mr Jakob Alfred;male;34.0;false
first;Carlsson, Mr Frans Olof;male;33.0;false
first;Mihan, Miss Daisy E;female;33.0;true
first;Rosenbaum (Russell), Miss Edith Louise;female;33.0;true
first;Ringhini, Mr Sante;male;33.0;false
second;Hunt, Mr George Henry;male;33.0;false
second;Quick, Mrs Frederick C (Jane Richards);female;33.0;true
second;West, Mrs Edwy Arthur (Ada Mary);female;33.0;true
third;Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson);female;33.0;true
third;Carlsson, Mr Frans Olof;male;33.0;false
third;Carlsson, Mr Julius;male;33.0;false
third;Dean, Mrs Bertram (Eva);female;33.0;true
third;Goldsmith, Mr Frank John;male;33.0;false
third;Johansson, Mr Gustaff Joel;male;33.0;false
third;Johnson, Mr Malkolm Joackim;male;33.0;false
first;Staehlin, Dr Max;male;32.0;true
first;Keeping, Mr Edwin;male;32.0;false
second;Angle, Mrs William A (Florence);female;32.0;true
second;Beane, Mr Edward;male;32.0;true
second;Doling, Mrs Ada;female;32.0;true
second;Hickman, Mr Lewis;male;32.0;false
second;sser (srallah), Mr Nicholas;male;32.0;false
second;vratil, Mr Michel;male;32.0;false
second;Pinsky, Miss Rosa;female;32.0;true
second;Weisz, Mrs Leopold (Mathilde);female;32.0;true
second;Wilhelms, Mr Charles;male;32.0;true
third;Andersen, Mr Albert Karvin;male;32.0;false
third;Backstrom, Mr Karl Alfred;male;32.0;false
third;Bing, Mr Lee;male;32.0;true
third;Bourke, Mrs John (Catherine);female;32.0;false
third;Chip, Mr Chang;male;32.0;false
third;Dooley, Mr Patrick;male;32.0;false
third;Gronnestad, Mr Daniel Danielsen;male;32.0;false
third;Johansson, Mr Karl Johan;male;32.0;true
third;Jonsson, Mr Carl;male;32.0;true
third;Jussila, Mr Erik;male;32.0;true
third;Leinonen, Mr Antti Gustaf;male;32.0;false
first;Chambers, Mrs Norman Campbell (Bertha Griggs);female;31.0;true
first;Davidson, Mr Thornton;male;31.0;false
first;Dick, Mr Albert Adrian;male;31.0;true
first;Newell, Miss Madeleine;female;31.0;true
first;Roebling, Mr Washington Augustus 2nd;male;31.0;false
first;Tucker, Mr Gilbert Milligan, jr;male;31.0;true
first;Wick, Miss Mary talie;female;31.0;true
second;Cameron, Miss Clear;female;31.0;true
second;Collyer, Mrs Harvey (Charlotte Tate);female;31.0;true
second;Kvillner, Mr Johan Henrik Johannesson;male;31.0;false
third;Conlin, Mr Thomas Henry;male;31.0;false
third;Conghton, Mr Michael;male;31.0;false
third;Van der Planke, Mr Jules;male;31.0;false
third;Van der Planke, Mrs Jules;female;31.0;false
first;Allison, Mr Hudson Joshua Creighton;male;30.0;false
first;Bonnell, Miss Caroline;female;30.0;true
first;Foreman, Mr Benjamin Laventall;male;30.0;false
first;Loring, Mr Joseph Holland;male;30.0;false
first;Maguire, Mr John Edward;male;30.0;false
second;Abelson, Mr Samuel;male;30.0;false
second;Chapman, Mr John Henry;male;30.0;false
second;Chapman, Mrs John Henry (Elizabeth Lawry);female;30.0;false
second;Corbett, Mrs Walter H (Irene Colvin);female;30.0;false
second;Givard, Mr Hans Christensen;male;30.0;false
second;Hale, Mr Regild;male;30.0;false
second;Harris, Mr George;male;30.0;true
second;Lahtinen, Rev William;male;30.0;false
second;Matthews, Mr William John;male;30.0;false
second;Meyer, Mr August;male;30.0;false
second;Renouf, Mrs Peter Henry (Lillian Jefferys);female;30.0;true
second;Siukonnen, Miss An;female;30.0;true
second;Slayter, Miss Hilda Mary;female;30.0;true
second;Veale, Mr James;male;30.0;false
second;Ware, Mr John James;male;30.0;false
second;Aldworth, Mr Charles Augustus;male;30.0;false
third;Adahl, Mr Mauritz Nils Martin;male;30.0;false
third;Cacic, Mr Maria;male;30.0;false
third;Connolly, Miss Kate;female;30.0;false
third;Corn, Mr Harry;male;30.0;false
third;Daly, Miss Marcella;female;30.0;true
third;De Mulder, Mr Theo;male;30.0;true
third;Dowdell, Miss Elizabeth;female;30.0;true
third;Karajic, Mr Milan;male;30.0;false
third;Lindell, Mrs Edvard Bengtsson;female;30.0;false
third;Van Impe, Mrs Jean Baptiste;female;30.0;false
first;Allen, Miss Elisabeth Walton;female;29.0;true
first;Long, Mr Milton Clyde;male;29.0;false
second;Clarke, Mr Charles V;male;29.0;false
second;Coleridge, Mr Regild Charles;male;29.0;false
second;Nye, Mrs Elizabeth Ramell;female;29.0;true
second;Turpin, Mr William John;male;29.0;false
second;Wells, Mrs Arthur H (Addie Trevaskis);female;29.0;true
third;Braund, Mr Lewis Richard;male;29.0;false
third;Christmann, Mr Emil;male;29.0;false
third;Daly, Mr Eugene;male;29.0;true
third;Johansson, Mr Nils;male;29.0;false
third;Larsson, Mr August Viktor;male;29.0;false
third;Larsson, Mr Bengt Edvin;male;29.0;false
third;Vendel, Mr Olof Wdvin;male;29.0;false
third;Zimmerman, Leo;male;29.0;false
first;Bjornstrm-Steffansson, Mr Mauritz Hakan;male;28.0;true
first;Fortune, Miss Ethel Flora;female;28.0;true
first;Meyer, Mr Edgar Joseph;male;28.0;false
first;Ovies y Rodriguez, Mr Servando;male;28.0;false
first;Sloper, Mr William Thompson;male;28.0;true
second;Abelson, Mrs Samuel (An);female;28.0;true
second;Banfield, Mr Frederick J;male;28.0;false
second;Beauchamp, Mr Henry James;male;28.0;false
second;Davis, Miss Mary;female;28.0;true
second;del Carlo, Mr Sebastiano;male;28.0;false
second;Harper, Rev John;male;28.0;false
second;Parker, Mr Clifford R;male;28.0;false
second;Reyldo, Mrs Encarcion;female;28.0;true
second;Ware, Mrs John James (Florence Louise Long);female;28.0;true
second;Weisz, Mr Leopold;male;28.0;false
third;Carlsson, Mr August Sigfrid;male;28.0;false
third;Carver, Mr Alfred John;male;28.0;false
third;Danbom, Mrs Ernst Gilbert (An Sigrid Maria Brogren);female;28.0;false
third;Gustafsson, Mr Johan Birger;male;28.0;false
third;Hakkarainen, Mr Pekko Pietari;male;28.0;false
third;Henriksson, Jenny Lovisa;female;28.0;false
third;Van der Steen, Mr Leo Peter;male;28.0;false
third;Vandewalle, Mr Nestor Cyriel;male;28.0;false
third;Williams, Mr Leslie;male;28.0;false
first;Chambers, Mr Norman Campbell;male;27.0;true
first;Clark, Mr Walter Miller;male;27.0;false
first;Daniel, Mr Robert Williams;male;27.0;true
first;Davidson, Mrs Thornton (Orian Hays);female;27.0;true
first;Douglas, Mrs Frederick Charles (Suzette Baxter);female;27.0;true
first;Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes);female;27.0;true
first;Widener, Mr Harry Elkins;male;27.0;false
second;Bracken, Mr James H;male;27.0;false
second;Collander, Mr Erik;male;27.0;false
second;Mantvila, Rev Joseph;male;27.0;false
second;Troutt, Miss Edwi Celia;female;27.0;true
second;Turpin, Mrs William John (Dorothy Anne Woncott);female;27.0;false
third;Attala (Kalil), Mr Solomon;male;27.0;false
third;Barry, Miss Julia;female;27.0;false
third;Cor, Mr Ivan;male;27.0;false
third;Danoff, Mr Yoto;male;27.0;false
third;Hedman, Mr Oscar;male;27.0;true
third;Honkanen, Miss Elu;female;27.0;true
third;Ilmakangas, Miss Ida Livija;female;27.0;false
third;Jansen, Mr Carl Olof;male;27.0;true
third;Jonsson, Nils Hilding;male;27.0;false
third;Wirz, Mr Albert;male;27.0;false
third;Yasbeck, Mr Antoni;male;27.0;false
third;Zakarian, Mr Artun;male;27.0;false
first;Behr, Mr Karl Howell;male;26.0;true
first;Clark, Mrs Walter Miller (Virginia McDowell);female;26.0;true
second;Botsford, Mr William Hull;male;26.0;false
second;Caldwell, Mr Albert Francis;male;26.0;true
second;Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh);female;26.0;true
second;Gavey, Mr Lawrence;male;26.0;false
second;Lahtinen, Mrs William (An Sylvan);female;26.0;false
second;LaRoche, Mr Joseph;male;26.0;false
second;Nesson, Mr Israel;male;26.0;false
second;Wright, Miss Marion;female;26.0;true
third;Adams, Mr John;male;26.0;false
third;Andersson, Mr Johan Samuel;male;26.0;false
third;Angheloff, Mr Minko;male;26.0;false
third;Balkic, Mr Cerin;male;26.0;false
third;Bengtsson, Mr John Viktor;male;26.0;false
third;Bostandyeff, Mr Guentcho;male;26.0;false
third;Bowen, Mr David;male;26.0;false
third;Chronopoulos, Mr Apostolos;male;26.0;false
third;Dean, Mr Bertram;male;26.0;false
third;Dennis, Mr William;male;26.0;false
third;Hansen, Mr Henrik Juul;male;26.0;false
third;Heikkinen, Miss Lai;female;26.0;true
third;Johansson, Oscar L;male;26.0;true
third;Kink, Mrs Anton (Louise Heilmann);female;26.0;false
third;Kink, Mr Vincenz;male;26.0;false
third;Lang, Mr Fang;male;26.0;true
third;Zakarian, Mr Maprieder;male;26.0;false
first;Allison, Mrs Hudson JC (Bessie Waldo Daniels);female;25.0;false
first;Birnbaum, Mr Jakob;male;25.0;false
first;Bishop, Mr Dickinson H;male;25.0;true
first;Harder, Mr George Achilles;male;25.0;true
second;Bryhl, Mr Kurt Arnold Gottfrid;male;25.0;false
second;Butler, Mr Regild Fenton;male;25.0;false
second;Denbury, Mr Herbert;male;25.0;false
second;Leyson, Mr Robert William Norman;male;25.0;false
second;Richards, Mrs Sidney (Emily Hocking);female;25.0;true
second;Shelley, Mrs William (Imanita);female;25.0;true
second;Sobey, Mr Hayden;male;25.0;false
second;Stokes, Mr Philip Joseph;male;25.0;false
third;Abelseth, Mr Olaus;male;25.0;true
third;Ali, Mr William;male;25.0;false
third;Arnold, Mr Josef;male;25.0;false
third;Dantchoff, Mr Khristo;male;25.0;false
third;Delalic, Mr Regyo;male;25.0;false
third;Gallagher, Mr Martin;male;25.0;false
third;Ilmakangas, Miss Pieta Sofia;female;25.0;false
third;Kiern, Mr John;male;25.0;false
third;Krekorian, Mr Neshan;male;25.0;true
third;Lindahl, Miss Agda V;female;25.0;false
third;Tornquist, Mr William Henry;male;25.0;true
first;Baxter, Mr Quigg Edmond;male;24.0;false
first;Fortune, Miss Alice Elizabeth;female;24.0;true
first;Hays, Miss Margaret Bechstein;female;24.0;true
first;Smith, Mr Lucien Philip;male;24.0;false
first;Snyder, Mr John Pillsbury;male;24.0;true
second;Collett, Mr Sidney C Stuart;male;24.0;true
second;Garside, Miss Ethel;female;24.0;true
second;Giles, Mr Edgar;male;24.0;false
second;Herman, Miss Alice;female;24.0;true
second;Herman, Miss Kate;female;24.0;true
second;Pain, Dr Alfred;male;24.0;false
second;Brown, Miss Mildred;female;24.0;true
third;Ahmed, Mr Ali;male;24.0;false
third;Aronsson, Mr Ernst Axel Algot;male;24.0;false
third;Carlsson, Mr Carl Robert;male;24.0;false
third;Celotti, Mr Francesco;male;24.0;false
third;Colbert, Mr Patrick;male;24.0;false
third;Coleff, Mr Fotio;male;24.0;false
third;Davies, Mr Alfred;male;24.0;false
third;Doyle, Miss Elizabeth;female;24.0;false
third;Driscoll, Miss Bridget;female;24.0;true
third;Duquemin, Mr Joseph;male;24.0;true
third;Haas, Miss Aloisia;female;24.0;false
third;Hakkarainen, Mrs Pekko Pietari;female;24.0;true
third;Johnson, Mrs Oscar W;female;24.0;false
third;Kennedy, Mr John;male;24.0;false
third;Lievens, Mr Rene;male;24.0;false
first;Earnshaw, Mrs Boulton (Olive Potter);female;23.0;true
first;Fortune, Miss Mabel;female;23.0;true
first;Greenfield, Mr William Bertram;male;23.0;true
first;Newell, Miss Marjorie;female;23.0;true
first;Snyder, Mrs John Pillsbury (Nelle Stevenson);female;23.0;true
second;Baimbrigge, Mr Charles R;male;23.0;false
second;Berriman, Mr William S;male;23.0;false
second;Eitemiller, Mr George Floyd;male;23.0;false
second;Hamalainen, Mrs William (An);female;23.0;true
second;Hocking, Mr George;male;23.0;false
second;Jerwan, Mrs Amin S (Marie Thuillard);female;23.0;true
second;Richard, Mr Emil;male;23.0;false
second;Ware, Mr William J;male;23.0;false
third;Alexander, Mr William;male;23.0;false
third;Asplund, Mr John Charles;male;23.0;true
third;Assam, Mr Ali;male;23.0;false
third;Augustsson, Mr Albert;male;23.0;false
third;Dennis, Mr Samuel;male;23.0;false
third;Drapkin, Miss Jennie;female;23.0;true
third;Dyker, Mr Adolf Fredrik;male;23.0;false
third;Heininen, Miss Wendla Maria;female;23.0;false
third;Karlsson, Mr Julius Konrad Eugen;male;23.0;false
third;Melkebuk, Mrs Philemon;female;23.0;false
first;Bowerman, Miss Elsie Edith;female;22.0;true
first;Frolicher, Miss Marguerite;female;22.0;true
first;Gibson, Miss Dorothy;female;22.0;true
first;Ostby, Miss Helen Raghnild;female;22.0;true
first;Payne, Mr Vivian Ponsonby;male;22.0;false
second;Cook, Mrs Sele Rogers;female;22.0;false
second;del Carlo, Mrs Sebastiano (Argenia Genovese);female;22.0;true
second;Giles, Mr Ralph;male;22.0;false
second;Karnes, Mrs J Frank (Claire Bennett);female;22.0;false
second;LaRoche, Mrs Joseph (Juliet);female;22.0;true
